Fiscal Year,Agency Code,Agency Name,Unit Code,Unit Name,Program Code,Program Name,Subprogram Code,Subprogram Name,Object Code,Object Name,Comptroller Subobject Code,Comptroller Subobject Name,Agency Subobject Code,Agency Subobject Name,Fund Type Name,Budget,Organization Code,Category,Category Title
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,9,Supplies and Materials,990,Data Processing Academic/Research,990,Data Processing Academic/Research,Current Unrestricted Funds,600,R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,9,Supplies and Materials,991,Data Processing,991,DATA PROCESSING,Current Unrestricted Funds,"1,454",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,9,Supplies and Materials,999,Other Supplies and Materials,999,OTHER SUPPLIES AND MATERIALS,Current Restricted Funds,"387,882",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,9,Supplies and Materials,999,Other Supplies and Materials,999,OTHER SUPPLIES AND MATERIALS,Current Unrestricted Funds,"1,239,217",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,11,Equipment - Additional,1107,Educational Equipment,1107,EDUCATIONAL EQUIPMENT,Current Unrestricted Funds,"7,520",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,11,Equipment - Additional,1115,Office Equipment,1115,OFFICE EQUIPMENT,Current Unrestricted Funds,"-3,364",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,11,Equipment - Additional,1199,Other Equipment,1199,OTHER EQUIPMENT,Current Unrestricted Funds,"34,465",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,12,"Grants, Subsidies, and Contributions",1204,Educational Grants,1204,EDUCATIONAL GRANTS,Current Restricted Funds,"1,028,206",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,12,"Grants, Subsidies, and Contributions",1204,Educational Grants,1204,EDUCATIONAL GRANTS,Current Unrestricted Funds,"174,939",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,12,"Grants, Subsidies, and Contributions",1299,"Other Grants, Subsidies and Contributions",1299,"Other Grants, Subsidies and Contributions",Current Restricted Funds,"-69,862",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,12,"Grants, Subsidies, and Contributions",1299,"Other Grants, Subsidies and Contributions",1299,"Other Grants, Subsidies and Contributions",Current Unrestricted Funds,"-3,436,728",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,13,Fixed Charges,1301,Rent (Non-DGS),1301,RENT (NON-DGS),Current Unrestricted Funds,"372,270",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,13,Fixed Charges,1304,Subscriptions,1304,Subscriptions,Current Unrestricted Funds,"22,526",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,13,Fixed Charges,1305,Association Dues,1305,ASSOCIATION DUES,Current Unrestricted Funds,"34,561",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,13,Fixed Charges,1308,Licenses,1308,LICENSES,Current Unrestricted Funds,"39,349",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,13,Fixed Charges,1399,Other,1399,OTHER,Current Unrestricted Funds,158,R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",5,Student Services,0,Student Services,14,Land and Structures,1499,Other Land and Structures,1499,OTHER LAND AND STRUCTURES,Current Unrestricted Funds,"1,425,914",R30_B22_05,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",101,Regular Earnings,101,Regular Earnings,Current Unrestricted Funds,"75,921,016",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Restricted Funds,"40,389",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Unrestricted Funds,"4,074,229",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",104,Overtime Earnings,104,OVERTIME EARNINGS,Current Unrestricted Funds,"1,664,682",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",105,Shift Differential,105,Shift Differential,Current Unrestricted Funds,"206,238",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",110,Miscellaneous Adjustments,110,Miscellaneous Adjustments,Current Unrestricted Funds,"-285,306",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",111,Accrued Leave Payments,111,Accrued Leave Payments,Current Unrestricted Funds,"1,023,990",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",120,Student Payments,120,Student Payments,Current Unrestricted Funds,"1,806,401",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",151,Social Security Contributions,151,Social Security Contributions,Current Restricted Funds,"3,090",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",151,Social Security Contributions,151,Social Security Contributions,Current Unrestricted Funds,"5,747,237",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",152,Health Insurance,152,HEALTH INSURANCE,Current Restricted Funds,-440,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",152,Health Insurance,152,HEALTH INSURANCE,Current Unrestricted Funds,"8,798,049",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",154,Retirees Health Insurance Premiums,154,Retirees Health Insurance Premiums,Current Restricted Funds,-45,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",154,Retirees Health Insurance Premiums,154,Retirees Health Insurance Premiums,Current Unrestricted Funds,"3,482,357",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",161,Employees' Retirement,161,Employees' Retirement,Current Unrestricted Funds,"5,424,223",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",163,Teachers' Retirement System,163,Teachers' Retirement System,Current Unrestricted Funds,"8,051",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",168,Optional Retirement/Pension System(TIAA),168,Optional Retirement/Pension System(TIAA),Current Restricted Funds,-101,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",168,Optional Retirement/Pension System(TIAA),168,Optional Retirement/Pension System(TIAA),Current Unrestricted Funds,"2,980,688",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",169,Law Enforcement Officers' Pension System,169,Law Enforcement Officers' Pension System,Current Unrestricted Funds,"1,985,167",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",174,Unemployment Compensation,174,Unemployment Compensation,Current Restricted Funds,113,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",174,Unemployment Compensation,174,Unemployment Compensation,Current Unrestricted Funds,"225,234",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",175,Workers' Compensation,175,Workers' Compensation,Current Unrestricted Funds,"1,326,094",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,1,"Salaries, Wages and Fringe Benefits",181,Tuition Waivers,181,Tuition Waivers,Current Unrestricted Funds,"555,348",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,2,Technical and Special Fees,201,Honorariums,201,HONORARIUMS,Current Unrestricted Funds,"9,550",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,2,Technical and Special Fees,216,Royalty Payments,216,Royalty Payments,Current Unrestricted Funds,"3,149",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,2,Technical and Special Fees,217,Health Insurance (Contractual),217,Health Insurance (Contractual),Current Unrestricted Funds,"1,165,211",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,2,Technical and Special Fees,220,Special Payments Payroll,220,Special Payments Payroll,Current Unrestricted Funds,"1,194,608",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,2,Technical and Special Fees,299,Other - Technical and Special Fees,299,OTHER - TECHNICAL AND SPECIAL FEES,Current Unrestricted Funds,"17,324",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,3,Communications,301,Postage,301,POSTAGE,Current Unrestricted Funds,"310,755",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,3,Communications,302,Telephone,302,Telephone,Current Restricted Funds,444,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,3,Communications,302,Telephone,302,Telephone,Current Unrestricted Funds,"319,340",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,3,Communications,303,Telecommunications,303,Telecommunications,Current Unrestricted Funds,"15,477",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,3,Communications,306,Cellular Telephone Services and Equipment,306,Cellular Telephone Services and Equipment,Current Unrestricted Funds,"124,429",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,4,Travel,401,In State/Routine Operations,401,In State/Routine Operations,Current Restricted Funds,"36,304",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,4,Travel,401,In State/Routine Operations,401,In State/Routine Operations,Current Unrestricted Funds,"546,956",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,4,Travel,403,Out-Of-State/Routine Operations,403,OUT-OF-STATE/ROUTINE OPERATIONS,Current Unrestricted Funds,"1,003,821",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,6,Fuel and Utilities,603,Fuel - Oil #2,603,FUEL - OIL #2,Current Unrestricted Funds,616,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,6,Fuel and Utilities,606,Fuel - Natural Gas/Propane,606,Fuel - Natural Gas/Propane,Current Unrestricted Funds,"275,241",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,6,Fuel and Utilities,608,Fuel - Steam,608,Fuel - Steam,Current Unrestricted Funds,"64,504",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,6,Fuel and Utilities,620,Utilities - Electricity,620,UTILITIES - ELECTRICITY,Current Unrestricted Funds,"1,067,284",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,6,Fuel and Utilities,621,Utilities - Water/Sewage,621,UTILITIES - WATER/SEWAGE,Current Unrestricted Funds,"235,010",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,7,Motor Vehicle Operation and Maintenance,701,Purchase Cost Or Lease Cost,701,Purchase Cost Or Lease Cost,Current Unrestricted Funds,"1,029,508",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,7,Motor Vehicle Operation and Maintenance,702,Gas and Oil,702,GAS AND OIL,Current Unrestricted Funds,"911,209",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,7,Motor Vehicle Operation and Maintenance,703,Maintenance and Repair,703,MAINTENANCE AND REPAIR,Current Unrestricted Funds,"556,375",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,7,Motor Vehicle Operation and Maintenance,704,Insurance,704,INSURANCE,Current Unrestricted Funds,"-157,645",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,7,Motor Vehicle Operation and Maintenance,732,Maintenance and Repair,732,MAINTENANCE AND REPAIR,Current Unrestricted Funds,850,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,801,Advertising and Legal Publication,801,ADVERTISING AND LEGAL PUBLICATION,Current Unrestricted Funds,"501,654",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,804,Printing/Reproduction,804,PRINTING/REPRODUCTION,Current Restricted Funds,294,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,804,Printing/Reproduction,804,PRINTING/REPRODUCTION,Current Unrestricted Funds,"1,743,194",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,805,Bookbinding/Photographic,805,Bookbinding/Photographic,Current Unrestricted Funds,"48,976",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,808,Equip Rental(Other Than Data Processing),808,EQUIP RENTAL(OTHER THAN DATA PROCESSING),Current Unrestricted Funds,"79,393",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,809,Equipment Repairs and Maintenance,809,EQUIPMENT REPAIRS AND MAINTENANCE,Current Unrestricted Funds,"411,293",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,811,Food Services,811,FOOD SERVICES,Current Restricted Funds,"2,304",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,811,Food Services,811,FOOD SERVICES,Current Unrestricted Funds,"732,221",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,816,Housekeeping,816,HOUSEKEEPING,Current Unrestricted Funds,"539,395",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,821,Management Studies and Consultants,821,Management Studies and Consultants,Current Unrestricted Funds,"3,689,231",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,831,Administrative Hearings,831,Administrative Hearings,Current Unrestricted Funds,"10,605",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,875,Retirement Administrative Fee,875,RETIREMENT ADMINISTRATIVE FEE,Current Unrestricted Funds,"719,459",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,890,Data Processing Microfilm/Microfiching,890,Data Processing Microfilm/Microfiching,Current Unrestricted Funds,"654,717",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,891,Data Processing Freight,891,Data Processing Freight,Current Unrestricted Funds,"3,706,448",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,894,Statewide Personnel System Allocation,894,Statewide Personnel System Allocation,Current Unrestricted Funds,"123,762",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,899,Other Contractual Services-Non DP,899,OTHER CONTRACTUAL SERVICES-NON DP,Current Restricted Funds,"11,919",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,8,Contractual Services,899,Other Contractual Services-Non DP,899,OTHER CONTRACTUAL SERVICES-NON DP,Current Unrestricted Funds,"-13,446,136",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,902,Office Supplies,902,Office Supplies,Current Unrestricted Funds,"1,432,585",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,904,Building and Household,904,BUILDING AND HOUSEHOLD,Current Unrestricted Funds,"325,436",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,906,Laboratory,906,LABORATORY,Current Unrestricted Funds,"6,303",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,908,Housekeeping,908,HOUSEKEEPING,Current Unrestricted Funds,"2,521",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,909,Medical,909,MEDICAL,Current Unrestricted Funds,"80,859",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,911,"Medicine, Drugs and Chemicals",911,"Medicine, Drugs and Chemicals",Current Unrestricted Funds,802,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,914,Instructional Supplies,914,INSTRUCTIONAL SUPPLIES,Current Unrestricted Funds,"23,163",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,920,Food,920,FOOD,Current Unrestricted Funds,283,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,951,Items For Resale,951,ITEMS FOR RESALE,Current Unrestricted Funds,"1,151,343",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,990,Data Processing Academic/Research,990,Data Processing Academic/Research,Current Unrestricted Funds,14,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,991,Data Processing,991,DATA PROCESSING,Current Unrestricted Funds,"100,447",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,999,Other Supplies and Materials,999,OTHER SUPPLIES AND MATERIALS,Current Restricted Funds,295,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,9,Supplies and Materials,999,Other Supplies and Materials,999,OTHER SUPPLIES AND MATERIALS,Current Unrestricted Funds,"1,786,675",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,11,Equipment - Additional,1102,Audio-Visual Equipment,1102,AUDIO-VISUAL EQUIPMENT,Current Unrestricted Funds,"26,853",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,11,Equipment - Additional,1115,Office Equipment,1115,OFFICE EQUIPMENT,Current Unrestricted Funds,"141,530",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,11,Equipment - Additional,1191,Data Processing-Administrative,1191,Data Processing-Administrative,Current Unrestricted Funds,"110,526",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,11,Equipment - Additional,1199,Other Equipment,1199,OTHER EQUIPMENT,Current Unrestricted Funds,"7,900",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,12,"Grants, Subsidies, and Contributions",1204,Educational Grants,1204,EDUCATIONAL GRANTS,Current Restricted Funds,"22,585",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,12,"Grants, Subsidies, and Contributions",1204,Educational Grants,1204,EDUCATIONAL GRANTS,Current Unrestricted Funds,"173,609",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,12,"Grants, Subsidies, and Contributions",1299,"Other Grants, Subsidies and Contributions",1299,"Other Grants, Subsidies and Contributions",Current Unrestricted Funds,"4,494,452",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1301,Rent (Non-DGS),1301,RENT (NON-DGS),Current Unrestricted Funds,"2,786,779",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1302,Insurance Coverage Paid To STO,1302,Insurance Coverage Paid To STO,Current Unrestricted Funds,"1,444,935",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1304,Subscriptions,1304,Subscriptions,Current Unrestricted Funds,"78,458",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1305,Association Dues,1305,ASSOCIATION DUES,Current Unrestricted Funds,"854,110",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1306,Bond Payments,1306,BOND PAYMENTS,Current Unrestricted Funds,"8,802",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1308,Licenses,1308,LICENSES,Current Unrestricted Funds,"23,515",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1309,Insurance (Non-STO Payments),1309,INSURANCE (NON-STO PAYMENTS),Current Unrestricted Funds,525,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,13,Fixed Charges,1399,Other,1399,OTHER,Current Unrestricted Funds,"-14,545,238",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,14,Land and Structures,1499,Other Land and Structures,1499,OTHER LAND AND STRUCTURES,Current Restricted Funds,300,R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",6,Institutional Support,0,Institutional Support,14,Land and Structures,1499,Other Land and Structures,1499,OTHER LAND AND STRUCTURES,Current Unrestricted Funds,"10,996,334",R30_B22_06,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Operation and Maintenance of Plant,1,"Salaries, Wages and Fringe Benefits",101,Regular Earnings,101,Regular Earnings,Current Unrestricted Funds,"45,540,270",R30_B22_07,3,Higher Education
2019,R30,University System of Maryland,B22,"University of Maryland, College Park Campus",7,Operation and Maintenance of Plant,0,Operation and Maintenance of Plant,1,"Salaries, Wages and Fringe Benefits",102,Additional Assistance,102,ADDITIONAL ASSISTANCE,Current Unrestricted Funds,"935,876",R30_B22_07,3,Higher Education
